LSOA,Unemployed,Full-time student,Unemployment Rate,Eastings,Northings
E01001720,51,66,3.9,532012,186418
E01001742,66,50,6.4,532932,186338
E01001801,57,36,8.7,532807,186956
E01001803,56,27,5.5,532431,186707
E01001806,74,39,8.5,532754,186437
E01001741,32,39,3.5,532973,186389
E01001805,55,30,6.9,533621,186808
E01001829,59,38,5.3,533313,186220
E01001831,58,40,5.4,533626,186326
E01001832,80,47,7.9,533602,185907
E01001764,96,41,10.1,534090,186180
E01001765,137,42,18.4,533995,186093
E01001767,93,42,10.4,534748,186354
E01001770,121,52,13.9,534538,186120
E01033703,86,42,10.9,534912,185775
E01033713,94,31,11.8,534453,185870
E01001792,90,54,9.8,535176,186184
E01001793,109,48,10.6,535379,186133
E01001794,97,77,9.1,535206,186125
E01001795,116,40,12.8,535151,185502
E01001796,108,71,10.5,535441,185668
E01001736,67,39,6.7,533051,185778
E01001737,76,45,6.3,532528,186057
E01001738,71,32,6.3,532559,185634
E01001739,82,46,6.2,532830,185462
E01001786,122,66,15.2,536527,185434
E01001787,102,36,17.4,535673,186472
E01001788,106,45,17.1,536088,186047
E01001790,98,45,16.9,536379,185564
E01001740,96,46,13,532888,185436
E01001747,109,67,8,533385,185193
E01001830,118,54,10.5,533324,186091
E01001833,117,74,9.3,533605,185844
E01001834,99,55,7.4,533492,185734
E01001835,50,42,6.1,533410,185493
E01001733,96,49,9,535784,185364
E01001785,86,39,11.1,536066,185182
E01001789,94,46,9.7,535806,185922
E01001791,105,55,14.6,536308,185574
E01001745,141,76,11.4,533586,185507
E01001746,114,44,15.6,534115,185534
E01001757,116,79,13.5,534725,185402
E01001758,127,55,11.9,534582,185208
E01001759,122,53,11.5,534180,185338
E01001761,103,56,10.1,534379,185104
E01001731,157,70,11.9,535016,184536
E01001734,128,48,11.3,535322,185391
E01001760,125,49,11.6,534856,184884
E01001762,96,58,8.1,534870,184694
E01001846,79,33,13.6,536901,184910
E01001847,77,36,13.2,536232,185158
E01001848,82,47,10.3,535986,185096
E01001849,144,70,11,536363,184911
E01001729,155,79,15.6,535570,185336
E01001730,143,46,16.9,535560,184766
E01001732,149,68,18.2,535424,184604
E01001735,73,48,8.5,535342,185321
E01001838,165,79,22.6,535098,184392
E01001850,140,63,18.2,535919,184880
E01001748,131,76,8.4,533915,184778
E01001749,69,54,6,534289,184629
E01001763,123,48,12.6,534878,184558
E01001816,85,42,9.5,534181,184125
E01001819,73,25,7.9,534045,184031
E01001744,66,74,6.2,533873,184619
E01001750,66,63,6,533262,183772
E01001751,40,27,3.6,533027,184126
E01001756,97,64,6.4,533219,184746
E01033698,58,39,9.7,533841,184181
E01033699,89,37,10.1,533473,185029
E01033700,94,46,8.5,533510,184856
E01033707,62,70,7.2,533539,184105
E01001836,100,31,9.4,535660,183878
E01001840,87,40,11.3,535407,184112
E01001841,73,30,9.7,535637,184039
E01001844,83,103,7.4,535422,184387
E01001845,103,48,14.2,536097,184345
E01001837,53,29,5.4,535409,183874
E01001839,120,89,8.4,534893,183977
E01001842,93,63,11.3,535261,183997
E01001843,68,31,10.5,535377,183914
E01033704,56,51,4.6,534823,183647
E01033712,96,59,9.7,534483,183710
E01001772,78,56,15.3,533864,183985
E01001774,104,60,8.5,534040,183621
E01001775,115,58,13,534443,183474
E01001815,119,54,13.7,534375,183993
E01001820,93,50,12.6,534044,183732
E01001821,94,48,12.8,534127,183695
E01001752,100,51,6.5,532864,183939
E01001753,133,55,17.2,533021,183923
E01001754,133,67,9.4,533308,183932
E01001755,102,73,11.5,533142,183300
E01001773,117,68,10.5,533651,183728
E01001776,97,42,13.3,533714,183393
E01001779,120,95,8.9,532345,183053
E01001781,141,56,17.3,532752,183200
E01001782,112,61,7.6,532153,183169
E01001783,153,76,16.5,532709,182946
E01001777,112,83,8.2,533273,183181
E01001780,119,61,11.7,533242,182802
E01001784,112,197,9.7,533151,183257
E01033706,67,47,5.7,533433,183090
E01033708,46,72,3.6,533147,182699
E01033709,59,67,5.5,532590,182857
E01033711,34,55,4.7,532577,182770
E01001798,124,48,15.5,534871,186730
E01001828,146,68,15.9,535091,187127
E01033702,68,23,11.5,535357,186958
E01033705,86,57,12.2,535583,186529
E01033710,69,26,10.6,535416,186888
E01001722,113,41,11.1,534152,186691
E01001728,87,31,12.2,534224,186876
E01001822,111,55,15,534869,186910
E01001827,102,44,14.4,534668,187145
E01001874,99,72,7.6,523068,180872
E01001875,97,51,11.8,521607,180974
E01001876,97,64,9.8,521512,181604
E01001877,76,38,9.6,522145,182505
E01001878,95,68,12.1,521558,181227
E01001955,111,57,13.6,522329,180437
E01001957,97,76,13,522910,180688
E01001958,102,56,13.4,522622,180857
E01001961,94,51,14.4,522607,180657
E01001954,56,43,6.9,522181,180449
E01001956,70,35,8.6,521890,180204
E01001959,90,63,11.6,521850,180388
E01001960,55,51,4.5,522496,180446
E01001943,96,62,7.7,523334,179692
E01001944,140,51,16.7,523855,180178
E01001945,60,43,5.5,522784,180455
E01001946,74,48,7.1,522872,180517
E01001862,91,45,8.6,522575,179693
E01001940,80,49,8.6,522900,179611
E01001941,75,60,6.1,523302,179892
E01001942,92,40,7.5,522850,179938
E01001858,64,104,6.3,522485,179804
E01001860,118,80,11.3,522553,180045
E01001861,69,38,7.9,521861,179782
E01001863,59,40,6.1,522261,179655
E01001864,67,41,6.9,522198,179660
E01001852,58,52,4.4,523969,179534
E01001853,48,26,4.7,523397,179413
E01001854,79,38,6.7,523484,179458
E01001857,80,46,9.9,523430,179645
E01001859,115,56,7.7,521445,179827
E01001865,79,36,7.2,521698,179524
E01001927,42,50,5.2,521654,179059
E01001930,57,47,6,521956,179230
E01001895,57,63,5.8,522763,179290
E01001896,43,92,4.7,523208,179261
E01001897,40,19,4.7,523073,179075
E01001929,24,19,3.1,522838,178776
E01001851,31,28,3,523873,179231
E01001855,56,24,4.8,524189,179228
E01001856,73,42,7.7,523379,179243
E01001869,21,10,2.9,523366,178903
E01001873,62,24,7.1,523976,179129
E01001928,66,22,7,522605,179351
E01001931,64,44,7.4,522070,178926
E01001932,73,49,7.1,522308,178322
E01001933,54,36,7.1,522365,178516
E01001866,62,63,6.4,524176,179036
E01001867,43,61,6.2,523842,178481
E01001868,65,42,9.2,524657,178510
E01001870,68,68,5.2,524569,178488
E01001871,58,53,6,523953,178717
E01001872,86,57,8.1,524336,178477
E01001893,66,58,9.9,523047,178181
E01001894,69,40,9.2,522848,178530
E01001898,69,47,6.6,523354,178525
E01001899,74,39,10.9,523057,178535
E01001900,71,76,7.2,523229,178130
E01001889,38,35,4.3,523842,178256
E01001910,52,43,4.8,524342,178121
E01001913,34,37,2.8,524423,177732
E01001914,64,69,5.2,524732,178226
E01001885,98,39,16.6,524659,177619
E01001908,69,59,5.9,524558,178092
E01001909,73,52,6.5,524667,178078
E01001911,92,71,10.3,524755,178034
E01001912,89,61,12.2,524977,177910
E01001886,73,53,8.7,524131,177734
E01001887,48,62,5.5,524143,177659
E01001890,44,92,3.7,523607,177859
E01001892,65,44,8.4,524265,177694
E01001880,56,32,5.9,525531,177665
E01001881,39,41,3.7,524995,177365
E01001882,52,52,4.2,524870,177430
E01001883,46,53,5.2,525333,177988
E01001884,58,67,5.4,524885,177645
E01001888,45,54,4.8,523493,177670
E01001891,43,73,3.2,523344,177885
E01001917,27,26,3.3,523484,176865
E01001918,43,35,4.8,523815,176772
E01001919,36,30,4.4,523518,176878
E01001879,66,44,7.6,524730,177457
E01001901,49,33,5.1,524460,176995
E01001902,51,51,4.6,524514,177272
E01001903,67,56,7.2,524253,177381
E01001920,61,31,7.4,525471,177138
E01001921,63,37,6.8,525619,176992
E01001922,49,34,5.3,525111,176579
E01001923,34,28,3.9,525665,176860
E01001924,28,32,3,525545,176726
E01001947,92,50,13.1,524859,177074
E01001948,58,39,4.4,524686,176652
E01001949,40,21,4,524502,176828
E01001950,37,25,3.7,524808,177068
E01001951,52,15,5,524563,176513
E01001953,58,32,6.8,525198,177141
E01001904,47,30,4.5,523918,177010
E01001905,28,21,2.6,524023,176805
E01001906,42,18,4.1,524163,176575
E01001907,35,13,4.5,524301,176362
E01001935,81,26,6.2,525706,176413
E01001939,72,93,6.4,526300,176677
E01032788,54,19,8.1,526194,175941
E01032789,38,21,5.2,526360,176500
E01032790,25,29,4.6,526439,176452
E01001915,31,11,4,524129,176565
E01001916,25,8,3.4,524699,175845
E01001926,36,20,3.9,524804,176281
E01001952,55,56,4.6,524505,176441
E01001925,34,23,3.9,525118,176380
E01001934,77,42,9.1,525562,175617
E01001937,60,35,5.2,525707,175838
E01001938,54,28,6.5,525704,175673
E01001969,109,60,10,530572,191181
E01001971,117,58,12.5,530594,190826
E01001974,120,60,8.5,530258,191426
E01001975,90,56,8.2,530455,191575
E01002036,113,58,16,534176,191734
E01002037,188,54,22.8,534454,191500
E01002039,111,63,18.7,534756,191212
E01002040,123,71,13,534690,190892
E01001962,53,40,5.8,529425,190663
E01001970,108,74,10.3,530235,191141
E01001972,81,52,8.8,530331,190537
E01001973,69,61,5.5,529097,191825
E01002090,71,58,9.9,531868,191337
E01002093,88,41,12.2,532685,191461
E01002096,89,46,13.1,532105,191185
E01002097,107,49,14.6,532360,190536
E01002091,83,38,12.8,532686,191610
E01002092,96,43,12.5,533462,191437
E01002094,83,53,12.4,532623,190648
E01002095,100,50,13.8,533392,190677
E01002098,62,48,7.2,530853,190755
E01002101,84,35,7.8,531416,191605
E01002102,92,80,8.5,530937,191113
E01002105,101,73,8.1,530887,190821
E01002099,129,71,14,531118,190949
E01002100,83,63,8.8,532029,190582
E01002103,64,78,6.4,531554,190684
E01002104,79,51,10.2,531802,190878
E01001963,67,27,6.6,529120,190613
E01001964,51,40,5.1,529803,190527
E01001965,46,26,4.7,529598,190731
E01001966,34,28,4.1,529233,190607
E01002027,59,74,7.2,531649,190092
E01002028,94,75,9.3,532050,190403
E01002032,90,66,9.9,531754,190469
E01002033,126,68,13.5,531549,190020
E01001976,81,44,10.3,533334,189931
E01001977,78,44,10.7,533195,190552
E01001978,86,74,9.9,533645,190279
E01001979,105,103,10.9,533675,190096
E01002074,141,48,15.5,534210,190616
E01002077,110,113,12,534019,190619
E01002079,88,41,11,534128,190429
E01002081,97,111,13.4,533836,189986
E01002082,97,64,15.6,532936,190210
E01002086,101,64,12.1,532583,189442
E01002088,75,62,7.5,532162,190474
E01002089,123,53,19.8,532958,190163
E01001967,36,32,3.9,529340,190053
E01001968,55,22,4.9,528836,190211
E01001996,52,19,5.4,528222,189745
E01001997,65,28,6,528745,189783
E01002075,100,103,12.7,534743,190703
E01002076,90,75,10.6,534583,190529
E01002078,121,75,10.9,534661,189085
E01002080,74,86,8.9,534721,189954
E01002026,111,45,15.2,531281,189878
E01002029,71,97,8.1,530361,190430
E01002030,82,56,8.7,530861,189590
E01002031,100,101,8.8,531284,189744
E01001991,39,21,3.8,528158,189717
